Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 1,
Wavelength,Intensity
W,I
nm,rel
,
380.5,0.016
381.3,0.015
382.2,0.015
383,0.015
383.9,0.016
384.7,0.016
385.6,0.015
386.4,0.015
387.3,0.015
388.1,0.016
388.9,0.016
389.8,0.016
390.6,0.015
391.5,0.015
392.3,0.015
393.2,0.016
394,0.016
394.9,0.016
395.7,0.016
396.6,0.016
397.4,0.016
398.3,0.015
399.1,0.016
400,0.016
400.8,0.016
401.6,0.016
402.5,0.016
403.3,0.016
404.2,0.016
405,0.016
405.9,0.016
406.7,0.016
407.6,0.016
408.4,0.016
409.3,0.016
410.1,0.016
411,0.016
411.8,0.016
412.7,0.016
413.5,0.016
414.3,0.017
415.2,0.017
416,0.018
416.9,0.018
417.7,0.018
418.6,0.017
419.4,0.018
420.3,0.018
421.1,0.018
422,0.018
422.8,0.018
423.7,0.018
424.5,0.018
425.4,0.019
426.2,0.018
427,0.019
427.9,0.019
428.7,0.019
429.6,0.019
430.4,0.018
431.3,0.018
432.1,0.018
433,0.018
433.8,0.019
434.7,0.019
435.5,0.019
436.4,0.019
437.2,0.019
438.1,0.019
438.9,0.019
439.7,0.019
440.6,0.018
441.4,0.019
442.3,0.019
443.1,0.02
444,0.019
444.8,0.019
445.7,0.018
446.5,0.019
447.4,0.019
448.2,0.02
449.1,0.019
449.9,0.02
450.7,0.019
451.6,0.02
452.4,0.019
453.3,0.019
454.1,0.019
455,0.019
455.8,0.019
456.7,0.019
457.5,0.018
458.4,0.018
459.2,0.017
460.1,0.017
460.9,0.017
461.8,0.018
462.6,0.018
463.4,0.018
464.3,0.019
465.1,0.019
466,0.018
466.8,0.018
467.7,0.018
468.5,0.018
469.4,0.017
470.2,0.017
471.1,0.017
471.9,0.017
472.8,0.017
473.6,0.017
474.5,0.017
475.3,0.017
476.1,0.017
477,0.017
477.8,0.017
478.7,0.017
479.5,0.017
480.4,0.017
481.2,0.017
482.1,0.017
482.9,0.017
483.8,0.017
484.6,0.017
485.5,0.017
486.3,0.017
487.2,0.017
488,0.017
488.8,0.018
489.7,0.018
490.5,0.019
491.4,0.017
492.2,0.017
493.1,0.017
493.9,0.018
494.8,0.018
495.6,0.018
496.5,0.019
497.3,0.019
498.2,0.019
499,0.018
499.9,0.018
500.7,0.019
501.5,0.019
502.4,0.02
503.2,0.02
504.1,0.019
504.9,0.019
505.8,0.019
506.6,0.02
507.5,0.02
508.3,0.02
509.2,0.019
510,0.019
510.9,0.02
511.7,0.02
512.5,0.02
513.3,0.02
514.1,0.02
514.9,0.02
