Wavelength,Intensity
380.5,0.022
381.3,0.022
382.2,0.022
383,0.021
383.9,0.022
384.7,0.022
385.6,0.022
386.4,0.022
387.3,0.023
388.1,0.023
388.9,0.023
389.8,0.023
390.6,0.023
391.5,0.023
392.3,0.024
393.2,0.024
394,0.024
394.9,0.024
395.7,0.025
396.6,0.026
397.4,0.026
398.3,0.026
399.1,0.026
400,0.027
400.8,0.028
401.6,0.029
402.5,0.03
403.3,0.031
404.2,0.032
405,0.033
405.9,0.035
406.7,0.036
407.6,0.038
408.4,0.04
409.3,0.043
410.1,0.046
411,0.05
411.8,0.054
412.7,0.06
413.5,0.067
414.3,0.076
415.2,0.085
416,0.094
416.9,0.105
417.7,0.118
418.6,0.132
419.4,0.147
420.3,0.163
421.1,0.181
422,0.197
422.8,0.214
423.7,0.232
424.5,0.251
425.4,0.27
426.2,0.289
427,0.306
427.9,0.324
428.7,0.342
429.6,0.36
430.4,0.376
431.3,0.392
432.1,0.407
433,0.422
433.8,0.436
434.7,0.451
435.5,0.466
436.4,0.48
437.2,0.492
438.1,0.503
438.9,0.513
439.7,0.522
440.6,0.531
441.4,0.537
442.3,0.541
443.1,0.542
444,0.541
444.8,0.538
445.7,0.533
446.5,0.524
447.4,0.512
448.2,0.497
449.1,0.48
449.9,0.461
450.7,0.439
451.6,0.417
452.4,0.394
453.3,0.371
454.1,0.347
455,0.322
455.8,0.299
456.7,0.277
457.5,0.257
458.4,0.238
459.2,0.22
460.1,0.202
460.9,0.186
461.8,0.173
462.6,0.161
463.4,0.151
464.3,0.142
465.1,0.134
466,0.125
466.8,0.119
467.7,0.113
468.5,0.107
469.4,0.102
470.2,0.098
471.1,0.094
471.9,0.09
472.8,0.087
473.6,0.084
474.5,0.082
475.3,0.079
476.1,0.077
477,0.076
477.8,0.074
478.7,0.074
479.5,0.073
480.4,0.072
481.2,0.072
482.1,0.073
482.9,0.074
483.8,0.076
484.6,0.077
485.5,0.079
486.3,0.08
487.2,0.084
488,0.087
488.8,0.092
489.7,0.098
490.5,0.104
491.4,0.111
492.2,0.117
493.1,0.125
493.9,0.134
494.8,0.145
495.6,0.157
496.5,0.169
497.3,0.181
498.2,0.194
499,0.208
499.9,0.223
500.7,0.238
501.5,0.254
502.4,0.269
503.2,0.284
504.1,0.301
504.9,0.317
505.8,0.333
506.6,0.348
507.5,0.362
508.3,0.376
509.2,0.389
510,0.401
510.9,0.413
511.7,0.423
512.5,0.431
513.3,0.439
514.1,0.447
514.9,0.455
515.7,0.459
516.5,0.462
517.3,0.464
518,0.466
518.8,0.466
519.6,0.464
520.4,0.464
521.2,0.463
522,0.463
522.8,0.462
523.6,0.461
524.3,0.46
525.1,0.458
525.9,0.459
526.7,0.46
527.5,0.46
528.3,0.46
529.1,0.46
529.9,0.463
530.6,0.464
531.4,0.467
532.2,0.47
533,0.474
533.8,0.479
534.6,0.484
535.4,0.49
536.2,0.495
536.9,0.502
537.7,0.51
538.5,0.516
539.3,0.524
540.1,0.53
540.9,0.54
541.7,0.547
542.5,0.558
543.2,0.567
544,0.577
544.8,0.587
545.6,0.595
546.4,0.603
547.2,0.611
548,0.618
548.8,0.623
549.5,0.629
550.3,0.636
551.1,0.642
551.9,0.641
552.7,0.644
553.5,0.647
554.3,0.651
555.1,0.649
555.8,0.645
556.6,0.641
557.4,0.635
558.2,0.626
559,0.618
559.8,0.611
560.6,0.602
561.4,0.591
562.1,0.58
562.9,0.572
563.7,0.564
564.5,0.554
565.3,0.543
566.1,0.535
566.9,0.525
567.7,0.517
568.4,0.509
569.2,0.503
570,0.496
570.8,0.489
571.6,0.483
572.4,0.478
573.2,0.476
574,0.474
574.7,0.471
575.5,0.469
576.3,0.466
577.1,0.463
577.9,0.459
578.7,0.455
579.5,0.451
580.3,0.45
581,0.448
581.8,0.448
582.6,0.449
583.4,0.45
584.2,0.45
585,0.447
585.8,0.445
586.6,0.444
587.3,0.447
588.1,0.448
588.9,0.45
589.6,0.45
590.4,0.45
591.1,0.452
591.9,0.454
592.6,0.457
593.4,0.46
594.1,0.468
594.9,0.475
595.6,0.478
596.3,0.476
597.1,0.474
597.8,0.478
598.6,0.485
599.3,0.49
600.1,0.495
600.8,0.495
601.6,0.494
602.3,0.487
603.1,0.48
603.8,0.472
604.6,0.465
605.3,0.461
606.1,0.457
606.8,0.452
607.6,0.445
608.3,0.435
609.1,0.424
609.8,0.412
610.6,0.403
611.3,0.393
612,0.385
612.8,0.375
613.5,0.362
614.3,0.349
615,0.337
615.8,0.327
616.5,0.317
617.3,0.307
618,0.298
618.8,0.288
619.5,0.28
620.3,0.27
621,0.261
621.8,0.251
622.5,0.245
623.3,0.237
624,0.23
624.8,0.223
625.5,0.216
626.3,0.209
627,0.203
627.7,0.196
628.5,0.189
629.2,0.183
630,0.177
630.7,0.173
631.5,0.169
632.2,0.163
633,0.158
633.7,0.154
634.5,0.152
635.2,0.149
636,0.147
636.7,0.144
637.5,0.142
638.2,0.139
639,0.137
639.7,0.134
640.5,0.133
641.2,0.131
642,0.129
642.7,0.127
643.4,0.125
644.2,0.124
644.9,0.122
645.7,0.12
646.4,0.118
647.2,0.115
647.9,0.115
648.7,0.113
649.4,0.112
650.2,0.109
650.9,0.105
651.7,0.102
652.4,0.099
653.2,0.098
653.9,0.097
654.7,0.094
655.4,0.092
656.2,0.089
656.9,0.088
657.7,0.085
658.4,0.083
659.1,0.08
659.9,0.079
660.6,0.077
661.4,0.077
662.1,0.075
662.9,0.073
663.6,0.071
664.4,0.068
665.1,0.068
665.9,0.066
666.6,0.066
667.4,0.065
668.1,0.063
668.9,0.061
669.7,0.059
670.4,0.057
671.2,0.055
672,0.054
672.7,0.053
673.5,0.052
674.2,0.051
675,0.049
675.8,0.047
676.5,0.046
677.3,0.045
678.1,0.045
678.8,0.043
679.6,0.041
680.4,0.04
681.1,0.04
681.9,0.039
682.7,0.038
683.4,0.037
684.2,0.036
685,0.035
685.7,0.034
686.5,0.034
687.2,0.034
688,0.033
688.8,0.033
689.5,0.033
690.3,0.032
691.1,0.031
691.8,0.03
692.6,0.03
693.4,0.03
694.1,0.029
694.9,0.028
695.7,0.028
696.4,0.028
697.2,0.027
698,0.027
698.7,0.026
699.5,0.026
700.2,0.026
701,0.026
701.8,0.026
702.5,0.025
703.3,0.025
704.1,0.025
704.8,0.025
705.6,0.024
706.4,0.024
707.2,0.024
708,0.024
708.8,0.024
709.6,0.024
710.4,0.024
711.2,0.023
712.1,0.023
712.9,0.022
713.7,0.022
714.5,0.021
715.3,0.021
716.2,0.022
717,0.022
717.8,0.022
718.6,0.022
719.4,0.022
720.3,0.022
721.1,0.022
721.9,0.021
722.7,0.021
723.5,0.021
724.4,0.021
725.2,0.02
726,0.02
726.8,0.02
727.6,0.02
728.5,0.02
729.3,0.021
730.1,0.021
730.9,0.021
731.7,0.021
732.6,0.02
733.4,0.02
734.2,0.02
735,0.02
735.8,0.02
736.7,0.019
737.5,0.019
738.3,0.019
739.1,0.02
739.9,0.02
740.8,0.02
741.6,0.02
742.4,0.02
743.2,0.021
744,0.021
744.9,0.02
745.7,0.02
746.5,0.02
747.3,0.02
748.1,0.02
748.9,0.02
749.8,0.019
750.6,0.02
751.4,0.02
